,Date,precip_and_snowmelt_input_Lower San Juan_mean,irrigation_Lower San Juan_mean,AET_Lower San Juan_mean,soil_thickness_Lower San Juan_mean,soil_porosity_Lower San Juan_mean,field_capacity_Lower San Juan_mean,wilting_point_Lower San Juan_mean,Geo_K_Lower San Juan_mean,Runoff_Lower San Juan_mean,Recharge_Lower San Juan_mean,Soil_Water_End_Of_Previous_Timestep_Lower San Juan_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower San Juan_mean,precip_and_snowmelt_input_m3_Lower San Juan_sum,irrigation_m3_Lower San Juan_sum,AET_m3_Lower San Juan_sum,Runoff_m3_Lower San Juan_sum,Recharge_m3_Lower San Juan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower San Juan_sum,Lower San Juan_area_m2
116,2014-09-01,50.01611744479537,0.08981059558190177,30.70004813048717,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,4.105286715565774,9.791178017539721,42.32463599367941,33.64557936592299,660444738.0565356,1185639.326408915,405389672.0726265,54192877.27516075,129121378.93481304,552574799.3157704,13673448103.110418
117,2014-10-01,2.1032353178789527,0.044905297790950885,9.51444984179332,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.005210063089709897,2.362912846524432,36.82774478037636,25.07485356625257,27769372.824753027,592819.6632044575,125630445.97433367,68789.63594617581,31191491.871762823,480809278.6443302,13673448103.110418
118,2014-11-01,7.2907320591447355,0.0,8.306408485226614,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.05764830257848487,2.5618170340806237,35.49775468856267,23.544737933583264,96266383.83618471,0.0,109679967.13569841,761168.8999846891,33806169.904147595,463444263.8120471,13673448103.110418
119,2014-12-01,22.54915637242936,0.0,11.54927581443024,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.427881376754091,5.691833694235917,40.525011195317745,29.271951434138472,297763760.3011782,0.0,152509331.77286747,5649532.694325927,75072278.7223536,529087415.036637,13673448103.110418
120,2015-01-01,46.82670512998997,0.0,9.580631638367732,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,2.3746551382010384,16.90079064339822,58.32732240896127,48.33372514932682,618365924.6235358,0.0,126510833.26999487,31334740.389200706,222892595.57673895,761533050.9080122,13673448103.089811
121,2015-02-01,62.89222322638768,0.0,7.781008660516669,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,10.983005591538332,32.76818491868831,69.2664128537042,59.71163254072308,830514234.6617891,0.0,102747967.2756822,144897346.50018016,432174776.1097757,904351203.2459526,13673448103.089811
122,2015-03-01,13.248766234286157,0.0,8.760875856024494,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.6088551218527947,9.565891965819784,63.7224488967197,48.8001372436269,174949985.27185595,0.0,115682635.59426938,8032233.785187356,126153472.74286753,831976010.6259766,13673448103.089811
123,2015-04-01,10.137247218471964,0.060906428290388934,13.05136146887117,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.2237401112695218,6.787226138312976,56.23996576843631,38.19570059474243,133855310.28001994,804074.8011678926,172331552.14015123,2952897.3212751634,89521346.8184633,734286339.8792753,13673448103.089811
124,2015-05-01,45.21618237967488,0.15835671246703045,30.030434511341923,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,3.854899932227268,14.418491917155151,55.96277138284153,44.32031664655131,597064886.2909398,2090594.4686750383,396539831.7771204,50859596.846081965,190179256.7353698,730662043.1102986,13673448103.089811
125,2015-06-01,60.84764629744854,0.24362571316155573,33.443213155666484,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,9.114332074919583,19.92431602573325,57.727596398695816,47.466731550726124,803478722.4060163,3216299.2046715706,441607246.9538596,120248086.81761299,262800113.84205452,753701822.0220075,13673448103.089811
126,2015-07-01,55.030549936634785,0.3167134249340609,33.01220256398831,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,8.232619269296935,18.195636347770375,56.722088979711806,46.194809795708686,726651059.3693272,4181188.9373500766,435909901.7413592,108611195.44066146,239998172.8725237,740570802.071952,13673448103.089811
127,2015-08-01,46.44680048569681,0.25580698517839096,30.86804759570395,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,6.401579959105956,14.658557177002598,55.62547613683477,46.33300050562369,613317705.6453519,3377113.9848264474,407606976.2559274,84441537.20507322,193341896.18675256,726249236.4828346,13673448103.089811
128,2015-09-01,8.812159451138058,0.12181285658077787,11.40763700105471,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.2137432332942229,6.359243049691412,51.31881505859802,38.34636145670354,116358077.53315756,1608149.6023357853,150628059.09099117,2820061.9649460353,83879206.74196629,670023071.8576299,13673448103.089811
129,2015-10-01,58.571720247724535,0.060906428290388934,24.89463850141868,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,7.577834717680561,19.263574855654173,58.28271613544805,48.34540096009815,773439480.1183926,804074.8011678926,328732525.96522945,99979600.0462667,254095264.02970672,760946725.3770072,13673448103.089811
130,2015-11-01,30.281313727478615,0.0,13.686758768216073,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,3.339851870078464,12.680219856067371,59.0688449950094,47.78721760420621,399849060.8694956,0.0,180729663.74658042,44066814.757468075,167251075.2929451,771205283.9246173,13673448103.089811
131,2015-12-01,34.9150556760141,0.0,7.623087184515056,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,5.477526025541815,16.58110913621459,64.28709499275502,50.69400208349651,461022526.9200352,0.0,100661960.80828173,72277608.49981295,218698321.13334003,839324950.6424843,13673448103.089811
132,2016-01-01,58.005563273351676,0.0,6.012106005912328,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,11.104430523353818,31.159503740311752,73.72254977830912,60.408926204306134,765966842.0749797,0.0,79393938.89725818,146493205.2642453,410903906.9548515,962516812.6069243,13673448103.110418
133,2016-02-01,10.941827935292887,0.0,5.202323335858707,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.6964501098836904,10.0044799585235,68.7308888616611,48.67577248182522,144478218.43249002,0.0,68696058.07191586,9189396.929077186,131923601.70614816,897345891.2459649,13673448103.110418
134,2016-03-01,6.976345226776984,0.0,6.020299775688169,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.6906729039601317,5.2299049521862075,64.02129967641164,41.40792862120366,92117863.2196683,0.0,79492565.63345596,9119824.57597456,68999074.13880758,835860432.4777792,13673448103.110418
135,2016-04-01,29.207404508663434,0.07010644474092136,13.491637476417553,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.7394762948654376,13.096320774295599,65.60572601008552,46.035209768220575,385679440.3270456,925536.8879750522,178153024.8191586,22953312.83737326,172712326.66090992,856548768.0044645,13673448103.110418
136,2016-05-01,19.6354262536766,0.18227674708147784,17.918686810166832,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.9786013356663665,8.878849331999005,60.045761963016304,42.1814515544821,259272322.50132683,2406395.786690594,236599513.74496675,12913634.552988471,117093343.25947623,783960849.4092009,13673448103.110418
137,2016-06-01,3.3296381483393045,0.2804257789636854,14.447580848819781,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.017329499572448035,3.1047407761468424,52.210876106063616,34.25762058742402,43964066.63807525,3702147.551900209,190761603.10685495,228794.23300219572,40967778.39835892,681673250.1113917,13673448103.110418
138,2016-07-01,18.361925783658595,0.3645534941629557,23.72368643878966,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.1384306168729281,7.897806760346744,46.81324564313671,33.456103677337104,242438981.20029238,4812791.573381188,313263301.91245306,15024473.322211867,104154654.53301446,611185733.2347687,13673448103.110418
