,Date,precip_and_snowmelt_input_Upper Colorado Dirty Devil_mean,irrigation_Upper Colorado Dirty Devil_mean,AET_Upper Colorado Dirty Devil_mean,soil_thickness_Upper Colorado Dirty Devil_mean,soil_porosity_Upper Colorado Dirty Devil_mean,field_capacity_Upper Colorado Dirty Devil_mean,wilting_point_Upper Colorado Dirty Devil_mean,Geo_K_Upper Colorado Dirty Devil_mean,Runoff_Upper Colorado Dirty Devil_mean,Recharge_Upper Colorado Dirty Devil_mean,Soil_Water_End_Of_Previous_Timestep_Upper Colorado Dirty Devil_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Colorado Dirty Devil_mean,precip_and_snowmelt_input_m3_Upper Colorado Dirty Devil_sum,irrigation_m3_Upper Colorado Dirty Devil_sum,AET_m3_Upper Colorado Dirty Devil_sum,Runoff_m3_Upper Colorado Dirty Devil_sum,Recharge_m3_Upper Colorado Dirty Devil_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Colorado Dirty Devil_sum,Upper Colorado Dirty Devil_area_m2
36,2008-01-01,31.838118028706212,0.0,8.327560683618099,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,2.755311444296411,17.829316681840094,48.402353773923686,39.715794936834115,1000649565.8067232,0.0,261744382.01780945,86591637.17273842,560359335.1459616,1503420304.0414393,31518254720.043274
37,2008-02-01,31.508363949791438,0.0,12.006117182400224,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,2.2564529798679827,17.8588906937749,48.73339817024334,39.86356967841866,990299528.4261296,0.0,377362591.29626155,70916224.32288527,561291099.3747207,1513704339.157195,31518254720.043274
38,2008-03-01,7.370615242689599,0.0,5.459646349143878,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.040990651032670175,7.383930991112903,44.0119231255335,30.549271101890106,231662185.84076124,0.0,171601889.62991133,1288368.2223566275,232075002.03339493,1367052138.511646,31518254720.043274
39,2008-04-01,4.833994604679007,0.2650303456385822,4.874663687320482,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.1156877711137678,3.6588829858313376,41.496577650395466,26.655640605438936,151933428.62942436,8330121.548756781,153213674.28901365,3636245.8856531116,114998079.20278674,1288922853.8725464,31518254720.043274
40,2008-05-01,15.638034974435007,0.6890788856159721,11.828563191323267,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.1524899147676787,7.106557492732131,40.52166860757903,26.32222296036351,491509250.08640385,21658315.616774328,371781587.1674989,4792975.271284882,223357188.9004993,1258641228.1911354,31518254720.043274
41,2008-06-01,6.018088030713578,1.0601213825543288,11.776102408865318,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.11491303658380632,2.9311494647219116,37.342008701244055,23.52210347548431,189149934.43848082,33320486.195027124,370129499.91122186,3611879.2647728575,92124919.31378418,1159877372.2762508,31518254720.043274
42,2008-07-01,9.397951795445657,1.3781577712319442,16.872367621286063,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.1718772290663507,5.118942657170632,34.33193385755408,21.16135768439134,295377030.09059983,43316631.233548656,530308122.88169587,5402286.057558112,160886085.3072437,1066380222.193044,31518254720.043274
43,2008-08-01,36.29215273296815,1.1131274448279629,23.782734392519522,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.2411170737945114,12.46221854812716,37.92115307052178,30.890279250360972,1140675775.5160828,34986510.28932613,747510377.3608924,39008153.96451199,391682875.52877945,1177865825.151915,31518254720.043274
44,2008-09-01,2.01917418707655,0.5300606912771644,10.08284004976454,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.0306539638430733,2.4119086493054325,33.76074640618033,21.57265509197209,63461670.13390457,16660243.097513562,316906451.77317894,963477.8991072816,75805049.02848843,1048639028.1004877,31518254720.043274
45,2008-10-01,10.839674019943304,0.2650303456385822,8.425760240212274,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.054417519832887284,4.726005138802134,33.72537874279501,21.865591681230626,340694018.9753408,8330121.548756781,264828056.84406847,1710366.394422062,148535931.8332827,1047540548.3494768,31518254720.043274
