,Date,precip_and_snowmelt_input_Utah_Statewide_mean,irrigation_Utah_Statewide_mean,AET_Utah_Statewide_mean,soil_thickness_Utah_Statewide_mean,soil_porosity_Utah_Statewide_mean,field_capacity_Utah_Statewide_mean,wilting_point_Utah_Statewide_mean,Geo_K_Utah_Statewide_mean,Runoff_Utah_Statewide_mean,Recharge_Utah_Statewide_mean,Soil_Water_End_Of_Previous_Timestep_Utah_Statewide_mean,Soil_Saturation_Percent_End_Of_Timestep_Utah_Statewide_mean,precip_and_snowmelt_input_m3_Utah_Statewide_sum,irrigation_m3_Utah_Statewide_sum,AET_m3_Utah_Statewide_sum,Runoff_m3_Utah_Statewide_sum,Recharge_m3_Utah_Statewide_sum,Soil_Water_End_Of_Previous_Timestep_m3_Utah_Statewide_sum,Utah_Statewide_area_m2
22,2006-11-01,17.704704296880276,0.0,12.48319521425762,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,0.6169186030645024,8.865774738210837,100.02883336795237,46.60745150670755,4891822005.143612,0.0,3434784272.052564,170453978.48080206,2449816533.05427,26956620897.041893,275976028683.40356
23,2006-12-01,30.107318824200878,0.0,6.545155414248349,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,3.228278826429976,12.72641279331362,107.63875044903214,50.44038984656308,8316183952.171008,0.0,1800961123.050803,891496646.7171755,3515747285.131583,29006900007.78729,275976028683.40356
24,2007-01-01,17.966599072244577,0.0,5.0887318573981775,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.575391507064443,9.40036549653296,109.62065432163504,51.10847267853909,4963333303.8995,0.0,1400211560.9834242,435071967.58925587,2597054540.12588,29541046713.999393,275976028683.4041
25,2007-02-01,34.60541050726227,0.0,10.487670499280606,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,3.7392242206483712,17.50829367747127,112.43769620920183,52.45084000732926,9559763864.681665,0.0,2885660596.5000014,1032763606.2644914,4837039277.1092615,30300259000.544594,275976028683.4041
26,2007-03-01,29.837955684391932,0.0,20.001848267257124,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,2.2898263762998217,12.12472313985895,108.24772025718897,49.59748245723681,8242521085.14627,0.0,5503366691.263756,632349181.7946116,3349545932.0963554,29171184324.590557,275976028683.4041
27,2007-04-01,25.904035782971434,1.0562652532013184,33.07017956042158,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,0.8105122247755043,5.682141213267077,98.72938061974158,44.00593226383398,7155681580.929913,291851545.158219,9099406275.132349,223839196.41477314,1569771619.2038918,26605608845.925938,275976028683.4041
28,2007-05-01,17.82451213575048,2.7462896585424073,40.8620587169909,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,0.6959233802294792,1.9293055595031439,84.04054660892682,35.18594780459213,4924370466.301776,758814017.470408,11244177980.15924,192221241.60235223,532966356.0507165,22646390739.81601,275976028683.4041
29,2007-06-01,11.352112009708629,4.2250610128052735,43.28291003023909,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.3975863267769655,1.1702838817533237,73.43870552811057,28.998017380191328,3135858930.0935354,1167406180.632876,11910135954.056503,386022379.55649555,323245447.92173344,19788592989.73389,275976028683.4041
30,2007-07-01,23.858700051042245,5.4925793170848145,47.68770908408334,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.9113998474038438,2.419426728340778,70.196342440749,28.766538416527496,6591100941.048343,1517628034.940816,13122663985.237062,527975709.0702902,668374748.5872313,18914643017.20217,275976028683.4041
31,2007-08-01,29.621766881100104,4.436314006303742,49.53158110890518,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.810715851546113,3.173799990377488,69.49424424501734,29.11869967698689,8183471573.154444,1225776473.8754594,13629561478.391747,500181748.24699223,876841256.5208355,18725614351.101643,275976028683.4041
32,2007-09-01,36.798553207703335,2.1125305064026367,33.2465437003562,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,2.012217911649845,5.021856102935031,75.02485446641418,33.37937976643208,10165852606.084135,583703090.316438,9148395879.252308,555762597.2717466,1387278187.4102285,20216230774.01305,275976028683.4041
33,2007-10-01,24.19844559962804,1.0562652532013184,19.250248822902822,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.2419383343916834,3.223647894686066,79.8230825867075,35.32819561828203,6685405739.177992,291851545.158219,5296929396.188249,343050552.45735615,890569695.1511015,21509849022.969715,275976028683.4041
34,2007-11-01,10.584827484935643,0.0,10.94191300261844,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,0.10240610963415431,1.7045697525018824,79.9427263209932,34.73134460375474,2924265013.421989,0.0,3010747285.8342433,28287071.266169652,470935030.582498,21542263418.520454,275976028683.4041
35,2007-12-01,59.69693398473428,0.0,4.992375667527826,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,5.9653534429872215,21.346594153021233,107.69698941031537,52.27865266154867,16491229043.726736,0.0,1373572371.1873708,1647661885.2092319,5897349061.335104,29022475659.10625,275976028683.4041
