,Date,precip_and_snowmelt_input_Great Salt Lake_mean,irrigation_Great Salt Lake_mean,AET_Great Salt Lake_mean,soil_thickness_Great Salt Lake_mean,soil_porosity_Great Salt Lake_mean,field_capacity_Great Salt Lake_mean,wilting_point_Great Salt Lake_mean,Geo_K_Great Salt Lake_mean,Runoff_Great Salt Lake_mean,Recharge_Great Salt Lake_mean,Soil_Water_End_Of_Previous_Timestep_Great Salt Lake_mean,Soil_Saturation_Percent_End_Of_Timestep_Great Salt Lake_mean,precip_and_snowmelt_input_m3_Great Salt Lake_sum,irrigation_m3_Great Salt Lake_sum,AET_m3_Great Salt Lake_sum,Runoff_m3_Great Salt Lake_sum,Recharge_m3_Great Salt Lake_sum,Soil_Water_End_Of_Previous_Timestep_m3_Great Salt Lake_sum,Great Salt Lake_area_m2
16,2024-01-01,13.048546184239264,0.0,9.567297858546924,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,0.9062439937881585,0.4178139380894442,23.814973386369555,17.071833886648886,59064959.51487072,0.0,43307464.92124755,4102808.449708064,1891484.471980043,12831085.075884454,4521109697.509279
17,2024-01-01,13.048546184239264,0.0,9.567297858546924,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,0.9062439937881585,0.4178139380894442,23.814973386369555,17.071833886648886,59064959.51487072,0.0,43307464.92124755,4102808.449708064,1891484.471980043,12831085.075884454,4521109697.509279
18,2024-01-01,13.048546184239264,0.0,9.567297858546924,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,0.9062439937881585,0.4178139380894442,23.814973386369555,17.071833886648886,59064959.51487072,0.0,43307464.92124755,4102808.449708064,1891484.471980043,12831085.075884454,4521109697.509279
19,2024-01-01,13.048546184239264,0.0,9.567297858546924,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,0.9062439937881585,0.4178139380894442,23.814973386369555,17.071833886648886,59064959.51487072,0.0,43307464.92124755,4102808.449708064,1891484.471980043,12831085.075884454,4521109697.509279
20,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
21,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
22,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
23,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
24,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
25,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
26,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
27,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
28,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
29,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
30,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
31,2024-02-01,72.7652328635852,0.0,16.35767414690294,102.61073698236783,0.5243091561866494,39.63577531957536,33.8807516222118,1088.244118124806,3.0851531790488744,1.2273621060822968,41.83987971277784,30.742401037947523,329370567.48088235,0.0,74044276.69050542,13966954.057459712,5556337.9784831,22542296.282280605,4521109697.509279
